,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
74,4OjKHySJHstsImlUW3qfml,Alice's Restaurant Massacree,Arlo Guthrie,album,1967-08-28,1960,53,0.561,0.366,9,-14.14,1,0.327,0.851,0.0,0.813,0.646,78.659,1116933,4
75,3h4t9qpFktohHeUQc3hZCa,Last Train to Clarksville - Original Stereo Version; 2006 Remaster,The Monkees,album,1966-10-10,1960,53,0.239,0.618,0,-8.464,1,0.033,0.0305,0.0,0.721,0.683,197.499,164093,4
76,32ssNweOtmacNBEC2kHzA8,Never My Love - Remastered Version,The Association,album,1967,1960,56,0.435,0.428,6,-11.747,1,0.0268,0.171,0.000708,0.149,0.61,95.534,187693,4
77,42mWEvGlwKGhVQs8XkvQKP,She Thinks I Still Care,George Jones,album,1962-01-01,1960,52,0.591,0.424,11,-8.512,1,0.0301,0.283,0.0,0.134,0.613,115.01,154800,4
78,042v1NacbKJzCyi6nBme7T,Mr. Soul,Buffalo Springfield,album,1967-10-30,1960,56,0.674,0.706,9,-9.012,1,0.0384,0.108,6.48e-06,0.114,0.961,133.789,172400,4
79,6o21UfW2RHkzzleZGLfFpK,For Your Love - 2015 Remaster,The Yardbirds,album,1965,1960,59,0.288,0.62,2,-10.103,1,0.0428,0.24,0.0,0.0882,0.617,94.445,150627,4
80,3GgvAt2Cyp7GRhYy9Luus1,Sittin On Top Of The World,Doc Watson,album,1964,1960,54,0.547,0.127,3,-21.435,1,0.0373,0.892,1.58e-05,0.112,0.73,89.404,159000,4
81,6Jp0GuFxAYbTdre1uUPgaB,Suzie Q,Creedence Clearwater Revival,album,1968-07-05,1960,58,0.435,0.618,4,-11.391,0,0.0324,0.0601,0.00282,0.167,0.695,129.911,517160,4
82,3c06k9x6MHHdPQi3ix68yF,Daydream,The Lovin' Spoonful,album,1966-03,1960,60,0.822,0.332,1,-11.369,1,0.0506,0.834,0.0,0.11,0.834,110.802,139093,4
83,3E0VKSvZp76kvBU2WwwBul,Leaving Trunk,Taj Mahal,album,1968,1960,58,0.542,0.502,3,-10.607,0,0.0515,0.195,0.00812,0.174,0.948,174.11,289560,4
84,6dKkejSuZPJcVQvQ26nott,Harper Valley P.T.A.,Jeannie C. Riley,album,1968-01-01,1960,52,0.798,0.557,4,-10.787,1,0.0423,0.571,0.0,0.1,0.923,121.614,194515,4
85,5eo3Oql60QR7NL2zcEsbe8,Feelin' Alright?,Traffic,album,1968-10,1960,56,0.468,0.527,5,-10.781,1,0.0407,0.314,0.0,0.234,0.749,94.852,257600,4
86,4jBeYXnsJaNvsNmc7vhDkw,Country Christmas,Loretta Lynn,album,1966-10-16,1960,50,0.783,0.386,9,-10.36,1,0.0395,0.795,4.92e-05,0.129,0.834,99.322,126120,4
87,23xk9Rf7oIHVUU1JvmXYFn,Mony Mony,Tommy James & The Shondells,album,1968-01-01,1960,57,0.592,0.834,2,-11.565,1,0.0334,0.322,0.0,0.364,0.809,130.967,174133,4
88,3uG4ygD1bIP3YspJm9N4KO,Flowers on the Wall,The Statler Brothers,album,1966,1960,52,0.53,0.51,8,-11.053,0,0.187,0.596,0.0,0.0712,0.808,201.594,139813,4
89,29HbMTL672MugzhklYvStz,The Pusher,Steppenwolf,album,1968-01-01,1960,52,0.482,0.402,0,-13.45,1,0.027,0.165,0.0169,0.0717,0.721,81.502,352907,4
90,41iPmvB2ogl3dzEHw9EZh0,"He Ain't Heavy, He's My Brother",The Hollies,compilation,1967,1960,51,0.309,0.441,7,-6.524,1,0.0291,0.409,1.73e-05,0.513,0.217,75.734,257840,4
91,44AauRai27QWKEx4dKn0oU,500 Miles Away from Home,Bobby Bare,album,1963-12-11,1960,52,0.501,0.429,7,-10.803,1,0.0293,0.669,0.0,0.539,0.551,108.948,162560,4
92,1YaPhbIo2oKWT5ejlMEL5Z,Fist City,Loretta Lynn,album,1968-04-22,1960,50,0.656,0.556,0,-8.761,1,0.0357,0.762,0.0,0.315,0.915,77.855,133933,4
93,2BGNomqCxEDcXyxf8bg27k,Eight Miles High,The Byrds,album,1966-07-18,1960,56,0.365,0.77,9,-10.492,1,0.0764,0.21,0.136,0.503,0.37,130.603,214640,4
94,3bMp2CgMtlWDqfG4rAE4nK,"Busted - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Johnny Cash,album,1968-05-02,1960,53,0.693,0.503,8,-13.379,1,0.0913,0.604,0.00103,0.955,0.68,87.176,83907,1
95,6cyQhHuw8lEXgHGJlXUiR9,Daddy Sang Bass,Johnny Cash,album,1969-06-15,1960,50,0.659,0.564,4,-11.655,1,0.0379,0.814,2.18e-05,0.646,0.783,96.657,140413,4
96,51DLN9R1dIqkKnlRsz1kpg,Mr. Bojangles,Jerry Jeff Walker,album,1968,1960,49,0.427,0.0801,2,-27.119,1,0.0372,0.748,0.51,0.125,0.78,168.418,328147,3
97,2RB2xSlVoMRhINO0SruNIx,Fourteen Carat Mind,Gene Watson,compilation,1968-01-01,1960,46,0.539,0.485,5,-15.072,1,0.0341,0.143,0.0,0.181,0.94,188.884,159507,3
98,4PvPkRcbnO4s67MPnij3sh,Deep River Blues,Doc Watson,album,1964,1960,52,0.516,0.157,5,-19.213,1,0.0354,0.876,1.42e-05,0.142,0.783,93.719,192000,4
99,1NoIZ1658UHpicKQ9rcWYh,"Corinna - From ""The Natch'l Blues""",Taj Mahal,album,1968,1960,51,0.623,0.286,9,-13.288,1,0.0991,0.486,4.44e-05,0.0884,0.734,79.106,182507,4
100,7tJQ4Ekp2vN3NlI3vJJW3v,I Want You,Bob Dylan,album,1966-06-20,1960,59,0.509,0.68,5,-8.354,1,0.0372,0.36,0.0,0.0824,0.802,99.924,185200,4
101,4UteAW3ZmZaB2Ru3FjB0dp,Let's Live For Today,The Grass Roots,album,1967-01-01,1960,53,0.571,0.498,8,-7.671,0,0.0288,0.462,0.0,0.0448,0.58,115.996,167760,4
102,4JPEuPsDG3nNJMAvvQ2Rr3,D-I-V-O-R-C-E,Tammy Wynette,album,1966,1960,50,0.628,0.383,9,-9.216,1,0.0296,0.826,0.0,0.151,0.564,99.789,175440,4
103,71sJjrNiDMM4oGNmgyPgOT,"Fare Thee Well, Miss Carousel",Townes Van Zandt,album,1969-09,1960,50,0.548,0.406,4,-13.547,1,0.0576,0.703,1.43e-05,0.0496,0.572,81.257,322587,4
