,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
186,2KZXnN63ae6G6Cai2NhPkG,The Shake,Neal McCoy,album,1997-10-17,1990,51,0.677,0.892,9,-5.709,1,0.0527,6.6e-06,0.202,0.898,145.921,213333,4
187,6IEIPevuDocD80PovsX6kN,Gone Country,Alan Jackson,album,1994-06-28,1990,50,0.673,0.679,7,-7.337,1,0.0254,0.0,0.0752,0.612,125.607,260493,4
188,4BcrWCZPXuoGU0SnAsJW1s,He Stopped Loving Her Today,George Jones,compilation,1998-07-14,1990,51,0.333,0.232,8,-14.605,1,0.0366,0.000548,0.252,0.398,144.788,197400,4
189,3gP4z9Muyf51JdDyN91upf,Fightin Side Of Me,Merle Haggard,compilation,1995-01-01,1990,52,0.75,0.451,4,-13.355,1,0.048,0.0,0.272,0.743,95.483,174667,4
190,3ZdAwMX7Lku81KGiqsjDeA,"Drink, Swear, Steal & Lie",Michael Peterson,album,1997-07-03,1990,50,0.672,0.697,11,-7.223,1,0.0251,0.0,0.131,0.757,103.36,182307,4
191,5Pj5zrq2nbKcAekH1AxbrO,Lady,Kenny Rogers,compilation,1993-01-01,1990,61,0.362,0.183,3,-16.0,0,0.0347,0.000234,0.0932,0.2,136.646,231867,4
192,21KRLdKgIdGSUpIMk5iPN7,Her Man,Gary Allan,album,1996-01-01,1990,49,0.636,0.424,6,-11.316,1,0.0316,0.0,0.101,0.378,128.48,164293,4
193,7nfPLTcf3UwAADE1X25PdR,Third Rock from the Sun,Joe Diffie,album,1994-07-26,1990,49,0.696,0.759,9,-8.642,1,0.0718,2e-05,0.484,0.618,150.647,186093,4
194,2G6pvEfrwrJZS6NgqS3DqX,Don't Let Our Love Start Slippin' Away,Vince Gill,album,1992-01-01,1990,51,0.736,0.719,3,-9.311,1,0.0313,0.000851,0.35,0.657,113.228,224800,4
195,29V94tQgMoSJjbzuTliPj6,Better Things To Do,Terri Clark,album,1995-01-01,1990,51,0.569,0.782,10,-5.868,1,0.0491,0.0,0.13,0.595,150.631,188133,4
196,1M1HscO3JywTvswsVx1GcI,Remember When,Alan Jackson,compilation,1991,1990,48,0.559,0.301,2,-10.522,1,0.0294,0.000561,0.152,0.25,125.584,270680,4
197,11QUG7teTcHUXgP1KsdvuX,Faster Horses (The Cowboy And The Poet),Tom T. Hall,album,1995-11-14,1990,50,0.652,0.493,7,-13.313,1,0.0505,0.0,0.348,0.858,115.18,172627,4
198,6QP8JgHuOi0itWXuZ6wdTM,Chasin' That Neon Rainbow,Alan Jackson,album,1990-02-27,1990,48,0.726,0.565,7,-10.355,1,0.033,0.0,0.0941,0.849,149.004,185373,4
199,7A7gHOXvDJ12CRfiZ18Uro,Tight Fittin' Jeans,Conway Twitty,compilation,1999-01-01,1990,50,0.707,0.546,4,-11.398,1,0.0429,7.37e-05,0.145,0.861,102.417,170267,4
200,1T48e2TOc58hzeOd8evEJD,Prop Me Up Beside the Jukebox (If I Die),Joe Diffie,album,1993-04-20,1990,49,0.634,0.76,9,-4.784,1,0.0295,0.0,0.18,0.603,140.539,226267,4
201,5sp0v1NDTtfzcPMtFotz80,This Woman and This Man,Clay Walker,album,1994-09-16,1990,49,0.588,0.581,6,-9.216,0,0.033,0.0,0.0525,0.429,148.02,263533,4
202,3PHLZ5wmtyZha1pp2405OT,Whenever You Come Around,Vince Gill,album,1994-01-01,1990,52,0.719,0.22,11,-11.811,1,0.0294,9.4e-06,0.118,0.168,115.375,259160,4
203,5oQx6XZyrOOkGbme8DA9GO,Amazed,Lonestar,compilation,1995,1990,54,0.56,0.541,1,-7.97,1,0.0288,0.0,0.118,0.278,139.76,240000,4
204,2nWKk3ACZN7exdamcHvGMU,Don't Laugh At Me,Mark Wills,album,1998-01-01,1990,50,0.399,0.357,5,-10.86,1,0.028,0.0,0.159,0.267,178.088,217800,4
205,2Ut5iHpzUHd0V37bpJqUlU,Cadillac Ranch,Chris LeDoux,album,1992-01-01,1990,50,0.597,0.737,11,-9.332,0,0.0706,0.0,0.106,0.8,158.586,173093,4
206,217a9W3cZ3ur40RFQW2pTo,Remedy,The Black Crowes,album,1992-01-01,1990,58,0.411,0.978,10,-3.801,0,0.0532,3.97e-06,0.0782,0.353,160.478,322640,4
207,15GiOLRhRZGM07xhEorDZ4,Let Him Fly,Patty Griffin,album,1996-01-01,1990,52,0.505,0.232,2,-7.75,1,0.035,0.0,0.105,0.425,112.348,191093,4
208,4mnVEyWjDAUKcNwMkMPuTB,Norma Jean Riley,Diamond Rio,album,1991-07-01,1990,50,0.69,0.65,7,-12.098,1,0.0288,3.52e-06,0.261,0.772,91.213,184067,4
209,0kyM6MaS573Gt9Yna1rsqd,Can't Let Go,Lucinda Williams,album,1998-01-01,1990,53,0.625,0.815,7,-8.609,1,0.0759,0.0288,0.0723,0.919,94.352,208733,4
210,6EMImSrB2kkbz0ZHtMa7zj,Who Do You Love?,George Thorogood & The Destroyers,album,1992-01-01,1990,55,0.524,0.91,4,-8.55,1,0.0628,0.192,0.147,0.59,107.237,260160,4
211,5QvUIQYaDBvssqnxrw1X49,The Road Goes On Forever,The Highwaymen,album,1995-01-01,1990,53,0.714,0.633,2,-9.912,1,0.046,1.23e-05,0.0591,0.672,111.583,281400,4
212,4TxIFLRMUxNh4n9h4RLsaE,"If You See Him, If You See Her",Reba McEntire,album,1998-06-01,1990,49,0.371,0.452,7,-7.739,1,0.0275,0.0,0.2,0.186,164.424,235933,4
213,2kQtKFkPMdL5Jf7xk4T9SI,Baby Likes To Rock It,The Tractors,album,1994,1990,52,0.573,0.946,5,-6.178,1,0.0369,0.00028,0.13,0.964,79.966,236467,4
